Sigla Empresa,Nombre,Fecha,A¤o,N£mero de Mes,Origen,Nombre.1,Ciudad Origen,Pais Origen,Destino,Nombre.2,Ciudad Destino,Pais Destino,Tr fico (N/I),Tipo Vuelo,Pasajeros,Carga + Correo (Kg),Tr fico (N/I) 2,Tipo Vuelo 2,Tipo Vuelo (Regular - No Regular),Mes
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,TLH,REGIONAL,FLORIDA,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,16,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,TLV,BEN GURION,TEL AVIV,ISRAEL,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,I,R,5,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,TLV,BEN GURION,TEL AVIV,ISRAEL,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,15,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,TPA,TAMPA INTL,TAMPA,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,246,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,TPA,TAMPA INTL,TAMPA,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,172,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,TUL,TULSA INTERNACIONAL,OKLAHOMA,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,48,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,TUL,TULSA INTERNACIONAL,OKLAHOMA,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,5,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,TUS,TUCSON INTERNATIONAL AIRPORT,ARIZONA,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,18,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,TYS,MC GHEE TYSO,KNOXVILLE,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,10,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,UVF,HEWANORRA INTERNATIONAL AIRPORT,VIEUX FORT QUARTER,SAINT LUCIA,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,2,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,UVF,HEWANORRA INTERNATIONAL AIRPORT,VIEUX FORT QUARTER,SAINT LUCIA,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,2,0,Internacional,Regular,Regular,marzo
